Video;GRUPO;A;B;C;D
R1G42S1;0;19,29;16,39;14,2;28,91
R1G43S1;1;17,95;2,88;6,59;17,45
R1G45S1;1;13,83;13,62;11,6;10,65
R1G65S1;0;17,46;16,2;6,53;14
R2G65S1;0;12,54;7,31;10,94;16
R3G64S1;0;13,66;8,8;9,16;10
R3G65S1;1;7,74;3,13;1,96;4,16
R4G64S1;0;12,44;23,04;15,4;10,037
R4G65S1;1;8,17;4,75;5,95;3,19
R4G66S1;0;12,58;5,64;1,19;3,69
R0G68S1;1;9,265;11,364;15,63;12,797
R2G39S1;0;18,623;2,565;12,993;28,085
R2G45S1;0;4,899;10,564;7,698;11,098
R2G67S1;1;11,797;12,431;5,399;7,132
R3G0S1;0;11,997;7,532;17,596;35,426
R3G45S1;1;17,994;6,798;1,466;6,065
R3G66S1;0;2,699;6,499;6,898;12,997
R3G67S1;0;14,064;9,131;18,596;6,199
R3G68S1;0;12,064;14,897;4,399;7,298
