ANIMAL;GRUPO;ETHO_A1;ETHO_A2;ETHO_B1;ETHO_B2;ETHO_TOTAL;ETHO_IDX_SPACE;ETHO_IDX_TIME;ETHO_IDX_INTEG;ETHO_TX_A1;ETHO_TX_A2;ETHO_TX_B1;ETHO_TX_B2;AUTO_A1;AUTO_A2;AUTO_B1;AUTO_B2;AUTO_TOTAL;AUTO_IDX_SPACE;AUTO_IDX_TIME;AUTO_IDX_INTEG;AUTO_TX_A1;AUTO_TX_A2;AUTO_TX_B1;AUTO_TX_B2
R0G68;1;2,7081;3,10635;1,03545;1,1151;7,965;,03703703704;,4468085106;-,06849315068;,34;,39;,13;,14;1,033333333;3,2;4,566666667;9,233333337;18,03333334;,3381642514;-,6309523811;-,5118110237;,05730129387;,1774491682;,2532347504;,5120147875
R1G42;0;13,73124;10,50036;6,46176;9,69264;40,386;,2;,36;,1333333333;,34;,26;,16;,24;39,53333334;2,533333333;15,76666667;8,466666667;66,30000001;-,3012379643;,4297769741;,8795562599;,5962795375;,03821015585;,2378079437;,127702363
R1G43;1;1,0716;,9823;1,20555;1,20555;4,465;0;-,05882352941;,04347826087;,24;,22;,27;,27;18,63333337;0;4,1;0;22,73333337;-1;,6392961883;1;,8196480941;0;,1803519059;0
R1G45;1;6,27528;8,5572;4,56384;9,12768;28,524;,3333333333;,1578947368;-,1538461538;,22;,3;,16;,32;8,466666663;12,86666667;20,3;4,73333333;46,36666666;-,6218375501;-,411355736;-,2062500003;,1826024442;,2774982028;,437814522;,102084831
R1G65;0;14,1728;9,3009;8,858;11,9583;44,29;,1489361702;,2307692308;,2075471698;,32;,21;,2;,27;12,43333333;3,533333333;17,13333333;14,66666667;47,76666666;-,07756813396;-,158962796;,5574112734;,2602930914;,07397069086;,358688067;,3070481508
R2G39;0;3,34399;2,53682;2,99806;2,65213;11,531;-,0612244898;,05454545455;,137254902;,29;,22;,26;,23;21,53333333;0;0;,3333333333;21,86666666;1;1;1;,9847560976;0;0;,01524390244
R2G45;0;8,4314;11,80396;9,69611;12,22553;42,157;,1153846154;-,06976744186;-,1666666667;,2;,28;,23;,29;9,033333334;8,1;16,06666667;16,83333334;50,03333334;,02330293829;-,2802124835;,05447470821;,1805463024;,1618920719;,3211192538;,3364423718
R2G65;0;14,83199;1,37972;6,8986;11,38269;34,493;,2452830189;,3650793651;,829787234;,43;,04;,2;,33;18,06666667;11;10,83333334;11,23333333;51,13333334;,01812688776;,2502883504;,2431192661;,3533246415;,2151238592;,2118644069;,2196870925
R2G67;1;3,86316;7,08246;14,16492;7,08246;32,193;-,3333333333;-,5714285714;-,2941176471;,12;,22;,44;,22;15,5;8,000000003;,766666667;8,766666667;33,03333334;,8391608391;,9057377049;,319148936;,469223007;,2421796166;,02320887993;,2653884964
R3G0;0;20,1908;11,5376;6,34568;19,61392;57,688;,5111111111;,5217391304;,2727272727;,35;,2;,11;,34;32,53333333;1,366666667;26,16666666;6,4;66,46666666;-,6069600818;,1084611017;,9193706981;,4894684052;,02056168506;,3936810431;,09628886661
R3G45;1;,61183;1,29564;1,22366;,46787;3,599;-,4468085106;-,3333333333;-,358490566;,17;,36;,34;,13;8;2,933333333;0;1,5;12,43333333;1;1;,4634146342;,6434316354;,235924933;0;,1206434316
R3G64;0;6,29955;1,25991;1,3999;5,03964;13,999;,5652173913;,6363636364;,6666666667;,45;,09;,1;,36;9,466666667;7,366666667;7,933333333;19,5;44,26666667;,4216281896;,0881226054;,1247524752;,2138554217;,1664156627;,1792168675;,4405120482
R3G65;1;2,42352;2,0196;2,12058;3,5343;10,098;,25;,06666666667;,09090909091;,24;,2;,21;,35;,466666667;0;25,9;3,2;29,56666667;-,7800687285;-,9646017699;1;,01578354003;0;,8759864712;,1082299887
R3G66;0;5,21884;2,87936;3,77916;6,11864;17,996;,2363636364;,16;,2888888889;,29;,16;,21;,34;9,2;9,5;5;6,533333334;30,23333333;,1329479769;,2957746479;-,01604278075;,3042998897;,3142227122;,1653803749;,2160970232
R3G67;0;17,8645;25,0103;10,7187;17,8645;71,458;,25;,25;-,1666666667;,25;,35;,15;,25;16,36666667;13,6;19,56666667;17,46666667;67,00000001;-,05670567056;-,08905380332;,09232480544;,244278607;,2029850746;,292039801;,2606965174
R3G68;0;14,43881;13,44303;11,45147;10,45569;49,789;-,04545454545;,1153846154;,03571428571;,29;,27;,23;,21;16,33333333;18,1;14,16666666;14,4;62,99999999;,00816802824;,0710382515;-,05130687329;,2592592592;,2873015873;,2248677248;,2285714286
R4G64;0;20,20095;5,38692;7,18256;12,12057;44,891;,2558139535;,4754098361;,5789473684;,45;,12;,16;,27;16,86666667;11,8;10,23333334;12,7;51,60000001;,1075581392;,2447724475;,1767441861;,326873385;,2286821705;,1983204135;,246124031
R4G65;1;2,07366;3,41544;4,8792;1,8297;12,198;-,4545454545;-,4035087719;-,2444444444;,17;,28;,4;,15;4,233333334;4,1;6,033333333;4,166666667;18,53333333;-,1830065359;-,1753246752;,01600000008;,2284172662;,2212230216;,3255395683;,2248201439
R4G66;0;6,5988;1,31976;6,5988;7,47864;21,996;,0625;0;,6666666667;,3;,06;,3;,34;15,76666667;3,166666666;24;6,733333333;49,66666667;-,5618221258;-,2070410728;,6654929579;,3174496645;,06375838925;,4832214765;,1355704698
