ANIMAL;GRUPO;FREQ;DUR;DUR_AVG;A1_FREQ;A1_DUR;A2_FREQ;A2_DUR;B1_FREQ;B1_DUR;B2_FREQ;B2_DUR;FORMER_FREQ;FORMER_DUR;NEVER_1_FREQ;NEVER_1_DUR;NEVER_2_FREQ;NEVER_2_DUR;NEVER_3_FREQ;NEVER_3_DUR;NEVER_AVG_FREQ;NEVER_AVG_DUR
R0G68T;1;15;6,86666666666666;,457777777777777;0;0;0;0;3;1,06666666666667;3;1,1;4;,899999999999999;7;3,9;0;0;0;0;2,33333333333333;1,3
R1G42T;0;2;,766666666666691;,383333333333346;1;,566666666666691;0;0;0;0;0;0;0;0;1;,2;0;0;0;0;,333333333333333;,0666666666666667
R1G45T;1;21;9,80000000000003;,466666666666668;1;,0666666666666666;0;0;2;,833333333333356;2;1,06666666666668;3;1,43333333333334;6;,933333333333306;4;4,03333333333333;4;1,73333333333333;4,66666666666667;2,23333333333332
R1G65T;0;13;2,63333333333335;,202564102564104;0;0;0;0;0;0;6;1,33333333333334;1;,0666666666666666;0;0;5;,933333333333327;1;,300000000000011;2;,411111111111113
R2G0T;1;19;5,59999999999991;,294736842105259;5;,3;4;1,39999999999995;2;1,1333333333333;0;0;5;2,16666666666666;0;0;0;0;3;,6;1;,2
R2G45T;0;15;4,03333333333332;,268888888888888;3;,800000000000013;0;0;4;,466666666666667;3;,633333333333341;3;,799999999999966;0;0;3;,933333333333328;1;,133333333333333;1,33333333333333;,355555555555554
R2G65T;0;28;11,4666666666668;,409523809523814;2;,133333333333333;7;1,96666666666667;4;1,50000000000003;12;3,53333333333343;3;2,10000000000002;1;,0666666666666666;4;1,86666666666663;3;,433333333333367;2,66666666666667;,788888888888888
R2G66T;1;9;3,06666666666671;,340740740740746;3;,633333333333364;0;0;1;,166666666666667;0;0;4;1,83333333333334;0;0;0;0;1;,433333333333337;,333333333333333;,144444444444446
R2G67T;1;7;1,46666666666665;,209523809523807;1;,0333333333333333;1;,0333333333333333;0;0;1;,466666666666654;2;,86666666666666;0;0;0;0;2;,0666666666666666;,666666666666667;,0222222222222222
R3G0T;0;4;2,23333333333335;,558333333333338;1;1,9666666666667;0;0;1;,199999999999989;2;,0666666666666666;0;0;0;0;0;0;0;0;0;0
R3G64T;0;6;2,29999999999995;,383333333333326;0;0;3;,533333333333332;0;0;0;0;1;,433333333333333;2;,866666666666678;0;0;1;,299999999999983;1;,388888888888887
R3G65T;1;2;,4;,2;0;0;0;0;1;,266666666666667;0;0;0;0;0;0;1;,133333333333333;0;0;,333333333333333;,0444444444444444
R3G66T;0;9;4,03333333333339;,448148148148154;2;2,16666666666669;1;,0666666666666666;0;0;1;,966666666666683;2;,366666666666671;2;,133333333333333;0;0;3;,466666666666679;1,66666666666667;,200000000000004
R3G67T;0;33;11,5666666666666;,350505050505049;5;2,40000000000004;3;,266666666666664;5;1;4;,96666666666665;0;0;3;,69999999999998;13;5,36666666666665;2;,666666666666667;6;2,24444444444443
R3G68T;0;41;22,8666666666665;,557723577235769;6;3,66666666666663;1;,1;4;,899999999999987;5;,666666666666647;5;1,26666666666666;11;7,6;6;2,69999999999989;7;6,13333333333334;8;5,47777777777774
R4G64T;0;35;18,7666666666668;,536190476190479;4;1,26666666666667;4;,566666666666651;5;3,9666666666667;2;,600000000000025;5;1,53333333333336;11;4,4333333333333;3;2,99999999999999;8;4,16666666666668;7,33333333333333;3,86666666666666
R4G65T;1;3;,566666666666682;,188888888888894;0;0;0;0;1;,0666666666666666;0;0;2;,500000000000015;0;0;0;0;0;0;0;0
R4G66T;0;11;3,53333333333333;,321212121212121;1;,0333333333333333;1;,0333333333333333;0;0;0;0;0;0;5;2,33333333333333;0;0;5;1,1;3,33333333333333;1,14444444444444
R4G67T;0;4;,2;,0499999999999999;0;0;0;0;0;0;0;0;0;0;0;0;3;,166666666666666;1;,0333333333333333;1,33333333333333;,0666666666666666
