rat_id,group,session,trajectory_length,fractal_dimension_box,fractal_dimension_higuchi,num_points
R0G39,saline,S1,7605.385642762967,1.3579636023013526,3.9996200451099604,9152
R0G39,saline,S2,7291.136996962784,1.3172686589412712,3.999744189953894,9153
R0G39,saline,T,6723.398884966635,1.2854083335972781,3.999903428122428,9153
R0G68,muscimol,S1,18354.04799132172,1.0872650411236673,3.999602046786298,9092
R0G68,muscimol,S2,6119.177002872387,1.2281610991713505,3.9997319113681162,9008
R0G68,muscimol,T,4917.659114308688,1.1148618838972928,3.999675015423228,9092
R1G42,saline,S1,10838.76080997349,1.335354876137861,4.0005360695729735,9153
R1G42,saline,S2,9056.431333621756,1.36457387336237,3.999929150454343,9153
R1G42,saline,T,4989.439093716037,1.1743962476887082,3.9998193442675003,9151
R1G43,muscimol,S1,8709.347594783565,1.3035900078066107,3.9996378473435694,9151
R1G43,muscimol,S2,3401.554619943643,1.1336980703836077,3.999680094294869,9153
R1G43,muscimol,T,2060.1814505811576,1.07622828641863,3.9997856626965165,9052
R1G45,muscimol,S1,11491.761729520587,1.3740983521734749,3.999630072410773,9153
R1G45,muscimol,S2,6550.118537297696,1.2812023554134162,3.999623555076173,9152
R1G45,muscimol,T,6336.025761826149,1.277018977154107,4.001783449079753,9153
R1G65,saline,S1,10907.790046695904,1.2778845572268254,4.000075576862773,9018
R1G65,saline,S2,48388.21075284438,1.174662352393696,3.999574765870763,9092
R1G65,saline,T,40867.480223405364,1.227132957544024,3.9996310584193084,9092
R1G68,muscimol,S1,6004.090404163018,1.1989957011116843,3.999672924174489,9006
R1G68,muscimol,S2,6034.6831267620855,1.2205925521993097,3.9999060446413583,9092
R1G68,muscimol,T,5152.307624659066,1.147723694044885,3.9996447619001847,9020
R2G0,muscimol,S1,10752.355928211238,1.359454332642265,3.999759179684821,9099
R2G0,muscimol,S2,11606.02919395449,1.3572567251087364,3.9998222973498754,9146
R2G0,muscimol,T,11860.773640713665,1.3667875113393995,3.9997742633897087,9092
R2G39,saline,S2,3426.569656146445,1.179876182329982,4.000154794492292,8811
R2G39,saline,T,1455.1392239472652,0.9911431110992418,3.9997148526008655,9153
R2G45,saline,S1,10327.221213850935,1.2848323848038323,3.99972751719503,9152
R2G45,saline,S2,5447.5048241181175,1.1806549674652476,4.001231114437429,9153
R2G45,saline,T,7029.3110147916595,1.2481007878829486,4.000105346025112,9150
R2G65,saline,S1,11331.809529000344,1.3161123419289191,3.9996174778419675,9091
R2G65,saline,S2,8546.946171598971,1.2664127989557017,3.9998304019337967,8980
R2G65,saline,T,7621.904992719696,1.3002992031611813,3.9997233536931738,9048
R2G66,muscimol,S1,14568.117698802296,1.3967502281620405,3.999745967570128,9091
R2G66,muscimol,S2,10080.212828924132,1.356944525242186,3.999603422955305,9041
R2G66,muscimol,T,8368.51813240588,1.3222885453536313,3.9996089061293842,9101
R2G67,muscimol,S1,10977.591533875428,1.2710460950214253,3.9997474237502066,9088
R2G67,muscimol,S2,8282.567464820339,1.2196902479068585,3.9996235047529547,9018
R2G67,muscimol,T,4981.589416273283,1.1391229954825084,3.9996716769789247,9084
R3G0,saline,S1,9801.379492765516,1.3268765056185228,3.999662081337231,9097
R3G0,saline,S2,6531.809729192541,1.3255835185782783,3.9997302941679824,9091
R3G0,saline,T,5921.479282850133,1.3041171358810488,4.000017639509971,9152
R3G45,muscimol,S1,6194.372227562273,1.2974699513996517,3.999717062851022,8959
R3G45,muscimol,S2,3701.3914531137716,1.1541248888957658,3.9996285648754286,8955
R3G45,muscimol,T,2758.972292667837,1.1993300552089166,3.9997951838656425,9152
R3G64,saline,S1,9536.35752264396,1.3520846802340936,3.9997878144929135,9092
R3G64,saline,S2,65120.19736692629,1.0522129576499648,3.9995717557330464,9092
R3G64,saline,T,12816.515385367558,1.2169306548312477,3.99966178938341,9089
R3G65,muscimol,S1,8444.786001310054,1.220919240275222,3.999791707569623,9080
R3G65,muscimol,S2,5351.874171906492,1.1903351668227597,4.000786011493274,9092
R3G65,muscimol,T,4820.64071067867,1.1193218234565747,3.999616344951737,9092
R3G66,saline,S1,10931.256175099199,1.2717937883568247,3.9997109605473193,9047
R3G66,saline,S2,8658.989053674446,1.2629180913052116,3.99976609482993,9092
R3G66,saline,T,8171.552563281053,1.2674766159229647,3.9996322022875956,9032
R3G67,saline,S1,9025.310393563163,1.333414333897519,4.00018209538314,9035
R3G67,saline,S2,9269.206351892397,1.3447418526674544,3.9999739448530818,9034
R3G67,saline,T,9869.942345290168,1.3472212085145365,3.9997930916531343,9035
R3G68,saline,S1,12616.147966999404,1.3688622321629131,3.9995982412214977,9034
R3G68,saline,S2,13410.489873815113,1.3400949280778973,3.9995932647140826,9051
R3G68,saline,T,11490.986285294724,1.32344216440894,3.9999031001524408,9041
R4G64,saline,S1,12896.910458042996,1.3660666842055738,3.9999021845833584,9090
R4G64,saline,S2,12005.786117270854,1.31044340785773,4.00135134320176,9092
R4G64,saline,T,9787.65773285448,1.2982838264545051,3.9998335637896663,9092
R4G65,muscimol,S1,9400.847721956856,1.2614572008863238,3.9996600181214417,9039
R4G65,muscimol,S2,5411.25057502666,1.199549225726173,3.999603188509918,9026
R4G65,muscimol,T,4044.3393050090876,1.1553147853929882,3.9997052430098408,9044
R4G66,saline,S1,9618.832514061482,1.2737892829614508,4.000464499408035,9058
R4G66,saline,S2,8882.187634875307,1.2528388734091565,3.9998421522382546,9092
R4G66,saline,T,8413.795301544966,1.2181033921746096,4.000026655133246,9037
R4G67,saline,S1,9070.834656911251,1.287138564548784,4.000029838158821,9026
R4G67,saline,S2,8018.81961063635,1.2327949640549325,3.999847524750578,9026
R4G67,saline,T,5988.631942054646,1.1903978227787535,4.000472074879401,9043
