ANIMAL;GRUPO;NO_OBJ_1;NO_OBJ_2;NO_OBJ_3;NO_OBJ_4;OBJ_1;OBJ_2;OBJ_3;OBJ_4;NO_OBJ_AVG_PERM;OBJ_AVG_PERM;filter_$
R0G68S1;1;4,43333333333333;6;12,6;33,0333333333333;179,766666666667;18,2333333333333;21,2333333333333;27,6;14,0166666666667;61,7083333333333;1
R1G42S1;0;32,2;28,1666666666667;10,5666666666667;13,9333333333333;49;33,5;39,9;94;21,2166666666667;54,1;0
R1G43S1;1;67;9,33333333333333;34,4666666666667;51;48,8333333333333;15,0666666666667;19,7;56,8666666666667;40,45;35,1166666666667;1
R1G45S1;1;38,5333333333333;31,0333333333333;17,8333333333333;26,9666666666667;54,4666666666667;46,8;46,6666666666667;42,4333333333333;28,5916666666667;47,5916666666667;1
R1G65S1;0;63,6;14,5333333333333;26,9333333333333;30,4333333333333;45,5;47,2;21,9333333333333;49,1;33,875;40,9333333333333;0
R2G45S1;0;40,4;22,1333333333333;12,9333333333333;82;30,0666666666667;26,9666666666667;48,3333333333333;36,0666666666667;39,3666666666667;35,3583333333333;0
R2G65S1;0;32,8666666666667;39,1333333333333;35,3666666666667;46,9;33;39,8333333333333;41;35,5;38,5666666666667;37,3333333333333;0
R2G67S1;1;7,36666666666667;7,73333333333333;22,5;139,833333333333;25,5333333333333;25,9;19,5;54,7;44,3583333333333;31,4083333333333;1
R3G0S1;0;13,4;10,5333333333333;20,6333333333333;84,6333333333333;30,8333333333333;21,9;33,2;89,3666666666667;32,3;43,825;0
R3G45S1;1;3,46666666666667;2,06666666666667;127,933333333333;92,4333333333334;40,7666666666667;14,7;3,63333333333333;15,0666666666667;56,475;18,5416666666667;1
R3G64S1;0;20,6666666666667;,766666666666667;69,2;34,8;55,5;27,5;41,5;50,7333333333333;31,3583333333333;43,8083333333333;0
R3G65S1;1;151,633333333333;67,3666666666667;4,3;6,2;20,1;23,8333333333333;6,7;24,9;57,375;18,8833333333333;1
R3G66S1;0;6,06666666666667;5,6;145,766666666667;48,1333333333333;9,83333333333333;18,8333333333333;34,6333333333333;30,2;51,3916666666667;23,375;0
R3G67S1;0;103,2;51;18,2333333333333;19;40,5;24,7333333333333;33,6333333333333;16;47,8583333333333;28,7166666666667;0
R3G68S1;0;46,7333333333333;23,7666666666667;55,4333333333333;46;40,2;46,6666666666667;15,6666666666667;29,8666666666667;42,9833333333333;33,1;0
R4G64S1;0;25,7;34,2666666666667;40,7;58,0333333333333;29,5;45,6666666666667;34,1666666666667;34,7666666666667;39,675;36,025;0
R4G65S1;1;145,066666666667;19,1333333333333;10,0666666666667;13,4666666666667;28,7;24,2333333333333;17,9;43,1666666666667;46,9333333333333;28,5;1
R4G66S1;0;89,5666666666667;93,1333333333333;29,4333333333333;13,6;36,2333333333333;22,1333333333333;5,83333333333333;14,9333333333333;56,4333333333333;19,7833333333333;0
