Video;GRUPO;STAT_1;STAT_2;DISL_1;DISL_2;STAT_AVG;DISL_AVG;SPACE_IDX;filter_$
R1G42S2;0;14,74;19,63;13,67;12,03;17,185;12,85;-,144331613118029;1
R1G43S2;1;5,5;2,38;1,46;2,52;3,94;1,99;-,328836424957841;0
R1G45S2;1;7,15;5,91;1,66;1,56;6,53;1,61;-,604422604422604;0
R1G65S2;0;14,873;19,082;11,425;4,591;16,9775;8,008;-,358988213163635;1
R2G65S2;0;12,84;6,98;11,89;14,52;9,91;13,205;,142548128920614;1
R3G64S2;0;11,01;,44;4,79;4,28;5,725;4,535;-,11598440545809;1
R3G65S2;1;3,63;5,01;5,37;0;4,32;2,685;-,233404710920771;0
R3G66S2;0;9,61;8,72;3,08;12,97;9,165;8,025;-,0663176265270505;1
R4G64S2;0;8,42;19,08;30,82;24,5;13,75;27,66;,335909200676165;1
R4G65S2;1;1,27;4,17;7,47;1,35;2,72;4,41;,237026647966339;0
R4G66S2;0;6,55;7,137;4,71;12,31;6,8435;8,51;,108542026248087;1
R0G68S2;1;8,198;6,998;5,899;2,499;7,598;4,199;-,288124099347292;0
R1G68S2;1;11,298;10,898;9,398;6,699;11,098;8,0485;-,159271929595487;0
R2G39S2;0;0;5,898;39,954;11,829;2,949;25,8915;,795495917199771;1
R2G45S2;0;2,599;8,897;4,199;5,398;5,748;4,7985;-,0900298677286304;1
R2G67S2;1;4,099;3,466;4,199;5,999;3,7825;5,099;,148229465743399;0
R3G0S2;0;7,398;11,796;4,499;8,497;9,597;6,498;-,192544268406337;1
R3G45S2;1;4,499;2,999;2,599;2,799;3,749;2,699;-,162841191066998;0
R3G67S2;0;10,632;17,298;2,3;5,466;13,965;3,883;-,564881219184222;1
R3G68S2;0;19,698;14,498;16,798;8,699;17,098;12,7485;-,145728979947398;1
