Video;GRUPO;FREQ_MIN_1;DUR_MIN_1;FREQ_MIN_3;DUR_MIN_3
R0G68T;1;9;3,1;15;6,86666666666668
R1G42T;0;0;0;0;0
R1G45T;1;4;2,79999999999999;9;5,00000000000002
R1G65T;0;2;,100000000000001;7;1,23333333333331
R2G0T;1;3;,199999999999992;6;,766666666666655
R2G45T;0;0;0;2;,366666666666674
R2G65T;0;2;1,29999999999999;13;5,9
R2G66T;1;2;,900000000000006;5;2,26666666666664
R2G67T;1;2;,86666666666666;6;1,43333333333332
R3G0T;0;1;,0333333333333337;2;,0666666666666651
R3G64T;0;2;,466666666666669;2;,466666666666669
R3G65T;1;0;0;2;,399999999999977
R3G66T;0;4;,533333333333342;7;1,8666666666667
R3G67T;0;10;2,56666666666667;21;6,86666666666667
R3G68T;0;5;,833333333333326;20;7,16666666666663
R4G64T;0;3;1,70000000000001;19;11,2666666666667
R4G65T;1;0;0;1;,0666666666666913
R4G66T;0;2;,100000000000001;6;1,83333333333334
